 
582865,333554, 
316449,3852552, 
207402,135133, 
4453377,70559, 
139409,105625, 
131283,101777, 
130429,102204, 
126579,106481, 
171053,154803, 
193290,156514, 
175757,147106, 
176613,159507, 
234343,193291, 
230067,195001, 
271547,181744, 
248883,204837, 
312601,253159, 
284804,251021, 
302764,262140, 
286942,1112703, 
260428,287370, 
317304,380594, 
355363,196284, 
230067,192436, 
268982,225791, 
288653,245461, 
287798,235626, 
334837,228356, 
1362868,398554, 
452864,399837, 
459706,379311, 
402404,383588, 
532831,454147, 
691911,872373, 
506318,439607, 
1518527,503325, 
605102,496055, 
576450,492206, 
599115,495627, 
542668,651286,
