Trial,0
Customer,Arrival Time,Waiting Time,Service Time,Depart Time,Status
0,1.601842386460384,0.0,2.0640970894594717,3.6659394759198554,SERVED
1,8.446337062754502,0.0,0.11094029861398932,8.557277361368492,SERVED
2,9.018965897153382,0.0,7.566696976558662,16.585662873712046,SERVED
3,13.826815959119731,0.0,4.074284193706538,17.90110015282627,SERVED
4,16.937971084675038,0.0,9.454772281844122,26.39274336651916,SERVED
5,20.509750425214662,0.0,0.5219778278795224,21.031728253094183,SERVED
6,26.480972829024893,0.0,3.8449760604542225,30.325948889479115,SERVED
7,38.54359649474254,0.0,1.376452587269412,39.92004908201195,SERVED
8,40.31891498790324,0.0,2.6616919675132147,42.980606955416455,SERVED
9,51.98598012530075,0.0,4.730109697894554,56.716089823195304,SERVED
10,56.39620950851848,0.0,1.0300212061339968,57.426230714652476,SERVED
11,60.06122209525078,0.0,6.123921852965032,66.18514394821581,SERVED
12,67.62943451695459,0.0,1.302630178952007,68.93206469590659,SERVED
13,72.49529860793048,0.0,0.502641260555198,72.99793986848567,SERVED
14,72.9166487566651,0.0,5.030276316976108,77.94692507364121,SERVED
15,73.65843047974337,0.0,1.5797850937203926,75.23821557346376,SERVED
16,76.79560906589992,0.0,1.3068936334810553,78.10250269938098,SERVED
17,87.32998370694142,0.0,2.435026681435802,89.76501038837722,SERVED
18,90.91198039431393,0.0,0.19929523076002578,91.11127562507396,SERVED
19,91.1017002310761,0.0,1.7977816638456539,92.89948189492175,SERVED
20,96.92222110853267,0.0,6.627258557285919,103.54947966581858,SERVED
21,100.61868891809256,0.0,0.07012398955291334,100.68881290764547,SERVED
22,101.6127273880577,0.0,1.1260556276311593,102.73878301568887,SERVED
23,116.2147232478765,0.0,1.6232541599880397,117.83797740786454,SERVED
24,135.65434073913144,0.0,0.8347114725439903,136.48905221167544,SERVED
25,141.52366828386536,0.0,1.927214115313146,143.4508823991785,SERVED
26,146.29805221123533,0.0,3.0887908625687577,149.3868430738041,SERVED
27,150.4458554060231,0.0,0.00933104219194224,150.45518644821504,SERVED
