322011,115035,7908731,14675244,428  
264280,107765,8672492,6584766,0  
254017,94508,8234164,6471014,427  
173193,40625,7892910,6481278,428  
157798,32073,7659419,6642068,855  
157798,31218,7849717,6807565,428  
159936,31645,7489647,6789176,427  
159081,30790,8431733,6247360,855  
167207,32929,8793086,7144543,856  
170627,46185,8314133,6949113,855  
618792,92370,30819422,26093171,428  
577739,65856,31287258,25544939,427  
534120,62007,31474135,25795962,427  
535830,61152,30663335,25825469,855  
534975,62008,30766823,25775435,855  
533692,62435,30565833,26849234,428  
534119,61580,31044360,25838298,427  
538823,62008,31091400,26045702,428  
533264,62435,31230810,25465398,428  
536686,62863,30716789,25406812,427  
1131957,92797,67858407,57272663,428  
1949600,145825,71945768,77639765,427  
1221333,614944,96457107,60366194,428  
1132385,93653,68069232,57445857,428  
1190971,101777,69181091,56847592,427  
1185839,99640,74662978,58539754,428  
1132385,92370,67965744,57458686,428  
1140082,93653,73368947,57382567,427  
1185412,101350,70571769,56538410,428  
1245281,100923,69227703,57455692,428  
2107826,145397,128025323,101732874,855  
1947889,120594,125258507,104834102,428  
2095852,129575,122510935,101941560,428  
2115097,143686,119937839,102244756,428  
1963712,120593,122904789,101527180,428  
2045391,122304,123027949,101624681,855  
2158716,144113,129164977,103871062,428  
2148880,145824,121961420,104527913,428  
1956870,121449,125982498,101357835,428  
1956015,123587,125990195,101646919,428  
3358239,163785,197247040,160154600,428  
3032807,154377,190222663,160711811,428  
3401002,153949,190464705,161131324,428  
3321889,183457,196689400,161661595,855  
3117479,155233,196011594,158827212,855  
3403997,182601,195915803,159819331,427  
3464293,207404,201926251,160645100,428  
3030241,758202,199009762,161972915,427  
3253468,164213,195582246,161828373,856  
3072577,153950,198678770,162264564,855  
4537236,818499,279116141,231088150,428  
4803227,190726,291463325,230457384,428  
4970433,226220,281429234,231885267,427  
4299042,181319,282287503,230545478,427  
4275094,181747,277092132,229523851,427  
4562466,183456,281447623,227962119,427  
5021322,216384,278630345,228578344,428  
5088461,225793,275116874,227876591,855  
4506446,183456,274634498,229286085,428  
4426478,184740,275906293,229452863,8553  
6152424,215957,381405799,316421117,428  
6219136,231780,380256309,314950043,428  
6045087,270267,379198761,316592600,428  
6089561,216385,379116654,315441399,428  
6179365,266845,377346235,313948943,428  
6320057,229642,374481062,310783142,428  
5760280,215530,386224848,324973016,856  
6243938,231352,476249001,356359914,428  
6181503,230497,501855520,323352697,428  
5918078,215957,374311717,318075648,427  
7517444,244181,486201414,408428653,428  
7510173,244181,491380534,415838760,427  
8105018,262570,487512552,412328283,855  
7594846,243326,490932797,408770336,427  
7624353,245036,487495873,407903942,428  
7588859,245891,486788133,405694338,855  
7900607,263852,490608648,411772781,428  
8478345,290794,483538941,410353452,427  
7590997,245037,484694418,407863744,428  
8085774,260431,490475225,410546316,428  
11191706,290794,615717482,528139417,855  
9829253,271550,616579599,518177168,428  
11583850,289083,614711678,538248772,428  
10923150,299773,615512216,521440900,855  
11423058,292931,618281598,526256528,428  
11650989,300202,618648511,591735987,427  
11784412,489217,656525238,525399114,427  
11166048,271550,625443674,549412255,855  
11313583,283524,619648756,521998539,427  
11321281,288655,630403844,549726568,428  
12652090,332274,763244368,640880113,427  
12036718,333129,765807628,634471106,855  
13860166,308754,755882156,657327915,428  
11964875,308754,752603030,639232425,427  
12153464,307899,761047165,639509962,428  
12720083,331419,756845624,638059415,427  
13269170,932251,770754968,635310559,428  
12046982,307044,755824426,637225093,427  
12479751,308326,768135688,636568242,856  
13434239,337834,772600653,635144208,855 
